Term,Definition,Link
Информа́тика,"Наука о методах и процессах сбора, хранения, обработки, передачи, анализа и оценки информации с применением компьютерных технологий, обеспечивающих возможность её использования для принятия решений.",https://ru.wikipedia.org/wiki/Информатика
Программи́рование,Процесс создания и модификации компьютерных программ.,https://ru.wikipedia.org/wiki/Программирование
Алгори́тм,"Совокупность точно заданных правил решения некоторого класса задач или набор инструкций, описывающих порядок действий исполнителя для решения определённой задачи.",https://ru.wikipedia.org/wiki/Алгоритм
Структура данных,"Программная единица, позволяющая хранить и обрабатывать машиной однотипные и/или логически связанные данные.",https://ru.wikipedia.org/wiki/Структура_данных
Язы́к программи́рования,"Формальный язык, предназначенный для записи компьютерных программ.",https://ru.wikipedia.org/wiki/Язык_программирования
Электро́нная вычисли́тельная маши́на,"Комплекс технических, аппаратных и программных средств, предназначенных для автоматической обработки информации, вычислений, автоматического управления.",https://ru.wikipedia.org/wiki/Электронная_вычислительная_машина
Иску́сственный интелле́кт,"Свойство искусственных интеллектуальных систем выполнять творческие функции, которые традиционно считаются прерогативой человека не следует путать с искусственным сознанием[en]; наука и технология создания интеллектуальных машин, особенно интеллектуальных компьютерных программ.",https://ru.wikipedia.org/wiki/Искусственный_интеллект
Программи́ст,"Специалист, занимающийся программированием, то есть созданием компьютерных программ.",https://ru.wikipedia.org/wiki/Программист
Станда́рт оформле́ния ко́да,"Набор правил и соглашений, используемых при написании исходного кода на некотором языке программирования.",https://ru.wikipedia.org/wiki/Стандарт_оформления_кода
Паради́гма программи́рования,"Совокупность идей и понятий, определяющих стиль написания компьютерных программ подход к программированию.",https://ru.wikipedia.org/wiki/Парадигма_программирования
Си,"Компилируемый статически типизированный язык программирования общего назначения, разработанный в 1969—1973 годах сотрудником Bell Labs Деннисом Ритчи как развитие языка Би.",https://ru.wikipedia.org/wiki/Си_(язык_программирования)
API,"Программный интерфейс, то есть описание способов взаимодействия одной компьютерной программы с другими.",https://ru.wikipedia.org/wiki/API
Инстру́кция,Наименьшая автономная часть языка программирования; команда или набор команд.,https://ru.wikipedia.org/wiki/Оператор_(программирование)
Подпрограмма,"Поименованная или иным образом идентифицированная часть компьютерной программы, содержащая описание определённого набора действий.  может быть многократно вызвана из разных частей программы.",https://ru.wikipedia.org/wiki/Подпрограмма
Стек вызовов,"В теории вычислительных систем, LIFO-стек, хранящий информацию для возврата управления из подпрограмм процедур, функций в программу или подпрограмму, при вложенных или рекурсивных вызовах и/или для возврата в программу из обработчика прерывания в том числе при переключении задач в многозадачной среде.",https://ru.wikipedia.org/wiki/Стек_вызовов
Фре́ймворк,"Программная платформа, определяющая структуру программной системы; программное обеспечение, облегчающее разработку и объединение разных компонентов большого программного проекта.",https://ru.wikipedia.org/wiki/Фреймворк
Многопото́чность,"Свойство платформы например, операционной системы, виртуальной машины и т. д. или приложения, состоящее в том, что процесс, порождённый в операционной системе, может состоять из нескольких потоков, выполняющихся «параллельно», то есть без предписанного порядка во времени.",https://ru.wikipedia.org/wiki/Многопоточность
Адрес,"Символ или группа символов, которые идентифицируют регистр, отдельные части памяти или некоторые другие источники данных, либо место назначения информации.",https://ru.wikipedia.org/wiki/Адрес_(информатика)
Ссылка,"Это объект, указывающий на определённые данные, но не хранящий их.",https://ru.wikipedia.org/wiki/Ссылка_(программирование)
Структура данных,"Программная единица, позволяющая хранить и обрабатывать машиной однотипные и/или логически связанные данные.",https://ru.wikipedia.org/wiki/Структура_данных
Система типов,"Совокупность правил в языках программирования, назначающих свойства, именуемые типами, различным конструкциям, составляющим программу — таким как переменные, выражения, функции или модули.",https://ru.wikipedia.org/wiki/Система_типов
Итерация,"В широком смысле — организация обработки данных, при которой действия повторяются многократно, не приводя при этом к вызовам самих себя в отличие от рекурсии.",https://ru.wikipedia.org/wiki/Итерация_(программирование)
Коммента́рии,"Пояснения к исходному тексту программы, находящиеся непосредственно внутри комментируемого кода.",https://ru.wikipedia.org/wiki/Комментарии_(программирование)
Шаблон проектирования,"Повторяемая архитектурная конструкция в сфере проектирования программного обеспечения, предлагающая решение проблемы проектирования в рамках некоторого часто возникающего контекста.",https://ru.wikipedia.org/wiki/Шаблон_проектирования
Синтаксис,"Набор правил, описывающий комбинации символов алфавита, считающиеся правильно структурированной программой документом или её фрагментом. у языка противопоставляется его семантика.  языка описывает «чистый» язык, в то же время семантика приписывает значения действия различным синтаксическим конструкциям.",https://ru.wikipedia.org/wiki/Синтаксис_(программирование)
SOLID,"Мнемонический акроним, введённый Майклом Фэзерсом Michael Feathers для первых пяти принципов, названных Робертом Мартином в начале 2000-х, которые означали 5 основных принципов объектно-ориентированных проектирования и программирования.",https://ru.wikipedia.org/wiki/SOLID_(программирование)
Ветвление,"Операция, применяющаяся в случаях, когда выполнение или невыполнение некоторого набора команд должно зависеть от выполнения или невыполнения некоторого условия.  — одна из трёх наряду с последовательным исполнением команд и циклом базовых конструкций структурного программирования.",https://ru.wikipedia.org/wiki/Ветвление_(программирование)
Цикл,"Разновидность управляющей конструкции в высокоуровневых языках программирования, предназначенная для организации многократного исполнения набора инструкций.",https://ru.wikipedia.org/wiki/Цикл_(программирование)
